
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0038                          RGB_LED                           44   1      1   1   1 1           1 0 VCC                 (43-2-13)
20-0038                          RGB_LED                           44   1      2   2   1 4           4 0 XSIG020129          (4076-38-13)
20-0038                          RGB_LED                           44   1      3   3   1 3           3 0 XSIG020128          (4076-37-13)
20-0038                          RGB_LED                           44   1      4   4   1 2           2 0 XSIG020127          (4076-36-13)
20-0067                          D1                                14   1      1   1   1 1           1 0 XSIG020306          (4112-18-13)
20-0067                          D1                                14   1      2   2   1 2           2 0 XSIG020357          (4142-3-13)
30-0003                          Q2                                39   1      1   1   1 4           3 0 XSIG020357          (4142-3-13)
30-0003                          Q2                                39   1      2   2   1 1           1 0 XSIG020295          (4112-15-13)
30-0003                          Q2                                39   1      3   3   1 3           2 0 GND                 (43-1-13)
30-0003                          Q3                                38   1      1   1   1 4           3 0 XSIG020310          (4112-19-13)
30-0003                          Q3                                38   1      2   2   1 1           1 0 BUZZER              (4112-16-13)
30-0003                          Q3                                38   1      3   3   1 3           2 0 VCC                 (43-2-13)
30-0006                          Q1                                21   1      1   1   1 2           2 0 XSIG020079          (4076-25-13)
30-0006                          Q1                                21   1      2   2   1 1           1 0 OTG_FS_VBAT         (4076-21-13)
30-0006                          Q1                                21   1      3   3   1 3           3 0 XSIG020066          (4076-22-13)
30-0006                          Q4                                20   1      1   1   1 2           2 0 XSIG020348          (4123-1-13)
30-0006                          Q4                                20   1      2   2   1 1           1 0 RSTn                (4076-7-13)
30-0006                          Q4                                20   1      3   3   1 3           3 0 GND                 (43-1-13)
40-0229                          U4                                24   1      1   1   1 2           2 0 GND                 (43-1-13)
40-0229                          U4                                24   1      2   2   1 5           5 0 XSIG020081          (4076-26-13)
40-0229                          U4                                24   1      3   3   1 1           1 0 XSIG020077          (4076-23-13)
40-0229                          U4                                24   1      4   4   1 3           3 0 XSIG020079          (4076-25-13)
40-0229                          U4                                24   1      5   5   1 4           4 0 OTG_FS_VBAT         (4076-21-13)
40-0272                          U1                                 1   1      1   1   1 60         60 0 XSIG020182          (4076-63-13)
40-0272                          U1                                 1   1      2   2   1 28         28 0 XSIG020352          (4142-2-13)
40-0272                          U1                                 1   1      3   3   1 14         14 0 TX                  (4112-7-13)
40-0272                          U1                                 1   1      4   4   1 15         15 0 RX                  (4112-8-13)
40-0272                          U1                                 1   1      5   5   1 16         16 0 PA2                 (4076-54-13)
40-0272                          U1                                 1   1      6   6   1 17         17 0 PA3                 (4076-55-13)
40-0272                          U1                                 1   1      7   7   1 20         20 0 PA4                 (4173-3-13)
40-0272                          U1                                 1   1      8   8   1 21         21 0 PA5                 (4173-4-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0272                          U1                                 1   1      9   9   1 22         22 0 PA6                 (4173-5-13)
40-0272                          U1                                 1   1     10  10   1 23         23 0 PA7                 (4173-6-13)
40-0272                          U1                                 1   1     11  11   1 41         41 0 JOYSTICK_5          (4076-53-13)
40-0272                          U1                                 1   1     12  12   1 42         42 0 OTG_FS_VBUS         (4076-18-13)
40-0272                          U1                                 1   1     13  13   1 43         43 0 OTG_FS_ID           (4076-15-13)
40-0272                          U1                                 1   1     14  14   1 44         44 0 OTG_FS_DM           (4076-16-13)
40-0272                          U1                                 1   1     15  15   1 45         45 0 OTG_FS_DP           (4076-17-13)
40-0272                          U1                                 1   1     16  16   1 46         46 0 XSIG020041          (4076-19-13)
40-0272                          U1                                 1   1     17  17   1 49         49 0 XSIG020042          (4076-20-13)
40-0272                          U1                                 1   1     18  18   1 50         50 0 PA15                (4112-9-13)
40-0272                          U1                                 1   1     19  19   1 26         26 0 SD_D1               (4076-28-13)
40-0272                          U1                                 1   1     20  20   1 27         27 0 SD_D2               (4076-29-13)
40-0272                          U1                                 1   1     21  21   1 55         55 0 PB3                 (4112-11-13)
40-0272                          U1                                 1   1     22  22   1 56         56 0 PB4                 (4112-10-13)
40-0272                          U1                                 1   1     23  23   1 57         57 0 PB5                 (4076-46-13)
40-0272                          U1                                 1   1     24  24   1 58         58 0 PB6                 (4076-45-13)
40-0272                          U1                                 1   1     25  25   1 59         59 0 PB7                 (4076-48-13)
